title,type,release_year,rating,listed_in,favorite
Movie_2012_162,Movie,2012,4.7,Drama,False
Movie_2012_136,Movie,2012,5.5,Comedy,False
Movie_2012_81,Movie,2012,8.9,Musical,False
Movie_2012_271,Movie,2012,4.1,Action,False
Movie_2012_69,Movie,2012,6.8,Thriller,False
Movie_2013_176,Movie,2013,8.5,Romance,False
Movie_2013_27,Movie,2013,5.3,Drama,False
Movie_2013_67,Movie,2013,4.1,Thriller,False
Movie_2013_77,Movie,2013,3.7,Action,False
Movie_2013_187,Movie,2013,7.2,Action,False
Movie_2013_182,Movie,2013,8.9,Biopic,False
Movie_2013_91,Movie,2013,5.8,Biopic,False
Movie_2013_128,Movie,2013,8.2,Thriller,False
Movie_2013_114,Movie,2013,7.9,Romance,False
Movie_2013_117,Movie,2013,8.3,Romance,False
Movie_2013_143,Movie,2013,8.1,Fantasy,False
Movie_2013_170,Movie,2013,8.9,Action,False
Movie_2013_20,Movie,2013,5.2,Drama,False
Movie_2013_262,Movie,2013,7.4,Drama,False
Movie_2013_1,Movie,2013,8.6,Romance,False
Movie_2014_161,Movie,2014,5.7,Drama,False
Movie_2014_207,Movie,2014,8.7,Thriller,False
Movie_2014_90,Movie,2014,4.7,Thriller,False
Movie_2014_297,Movie,2014,6.3,Fantasy,False
Movie_2014_87,Movie,2014,8.7,Drama,False
Movie_2014_121,Movie,2014,4.8,Thriller,False
Movie_2014_244,Movie,2014,5.6,Drama,False
Movie_2014_205,Movie,2014,4.7,Romance,False
Movie_2014_266,Movie,2014,4.2,Musical,False
Movie_2014_69,Movie,2014,8.4,Musical,False
Movie_2014_259,Movie,2014,7.6,Biopic,False
Movie_2014_244,Movie,2014,6.4,Musical,False
Movie_2014_123,Movie,2014,5.3,Thriller,False
Movie_2014_277,Movie,2014,4.3,Drama,False
Movie_2014_110,Movie,2014,5.8,Drama,False
Movie_2015_106,Movie,2015,7.7,Biopic,False
Movie_2015_195,Movie,2015,8.2,Musical,False
Movie_2015_215,Movie,2015,3.7,Romance,False
Movie_2015_173,Movie,2015,8.9,Biopic,False
Movie_2015_274,Movie,2015,5.9,Action,False
Movie_2015_237,Movie,2015,6.0,Comedy,False
Movie_2015_173,Movie,2015,6.1,Biopic,False
Movie_2015_277,Movie,2015,7.1,Action,False
Movie_2015_16,Movie,2015,6.1,Romance,False
Movie_2015_59,Movie,2015,6.8,Romance,False
Movie_2015_59,Movie,2015,6.7,Comedy,False
Movie_2015_193,Movie,2015,8.1,Biopic,False
Movie_2015_125,Movie,2015,6.6,Drama,False
Movie_2015_22,Movie,2015,7.1,Fantasy,False
Movie_2015_7,Movie,2015,5.5,Biopic,False
Movie_2016_236,Movie,2016,5.0,Comedy,False
Movie_2016_276,Movie,2016,4.9,Musical,False
Movie_2016_45,Movie,2016,6.6,Thriller,False
Movie_2016_195,Movie,2016,4.7,Fantasy,False
Movie_2016_133,Movie,2016,6.3,Fantasy,False
Movie_2016_98,Movie,2016,4.8,Drama,False
Movie_2016_244,Movie,2016,5.7,Musical,False
Movie_2016_125,Movie,2016,6.4,Thriller,False
Movie_2016_218,Movie,2016,4.8,Fantasy,False
Movie_2016_99,Movie,2016,7.6,Fantasy,False
